timestamp;node;renewable_share;score;pods
2021/10/14 11:54:28 ;ip-172-20-73-221.ec2.internal;3211.40;8;0
2021/10/14 11:54:28 ;ip-172-20-49-155.ec2.internal;3788.80;10;1
2021/10/14 11:54:28 ;ip-172-20-58-122.ec2.internal;2001.20;5;0
2021/10/14 11:55:28 ;ip-172-20-49-155.ec2.internal;3519.10;10;1
2021/10/14 11:55:28 ;ip-172-20-58-122.ec2.internal;1626.00;4;0
2021/10/14 11:55:28 ;ip-172-20-73-221.ec2.internal;3278.70;9;0
2021/10/14 11:56:28 ;ip-172-20-49-155.ec2.internal;3004.20;10;1
2021/10/14 11:56:28 ;ip-172-20-58-122.ec2.internal;1359.90;4;0
2021/10/14 11:56:28 ;ip-172-20-73-221.ec2.internal;2495.00;8;0
2021/10/14 11:57:28 ;ip-172-20-49-155.ec2.internal;2630.50;8;0
2021/10/14 11:57:28 ;ip-172-20-58-122.ec2.internal;2379.50;7;0
2021/10/14 11:57:28 ;ip-172-20-73-221.ec2.internal;3130.30;10;1
2021/10/14 11:58:28 ;ip-172-20-49-155.ec2.internal;1616.50;8;0
2021/10/14 11:58:28 ;ip-172-20-58-122.ec2.internal;1521.00;7;0
2021/10/14 11:58:28 ;ip-172-20-73-221.ec2.internal;1971.10;10;1
2021/10/14 11:59:28 ;ip-172-20-49-155.ec2.internal;1022.00;7;0
2021/10/14 11:59:28 ;ip-172-20-58-122.ec2.internal;1193.70;8;0
2021/10/14 11:59:28 ;ip-172-20-73-221.ec2.internal;1422.50;10;1
2021/10/14 12:00:28 ;ip-172-20-73-221.ec2.internal;2723.30;9;0
2021/10/14 12:00:28 ;ip-172-20-49-155.ec2.internal;2884.60;10;1
2021/10/14 12:00:28 ;ip-172-20-58-122.ec2.internal;1336.30;4;0
2021/10/14 12:01:28 ;ip-172-20-49-155.ec2.internal;5149.60;10;1
2021/10/14 12:01:28 ;ip-172-20-58-122.ec2.internal;948.10;1;0
2021/10/14 12:01:28 ;ip-172-20-73-221.ec2.internal;3803.00;7;0
2021/10/14 12:02:28 ;ip-172-20-49-155.ec2.internal;6244.40;10;1
2021/10/14 12:02:28 ;ip-172-20-58-122.ec2.internal;630.10;1;0
2021/10/14 12:02:28 ;ip-172-20-73-221.ec2.internal;3921.40;6;0
2021/10/14 12:03:28 ;ip-172-20-73-221.ec2.internal;3473.50;6;0
2021/10/14 12:03:28 ;ip-172-20-49-155.ec2.internal;5763.10;10;1
2021/10/14 12:03:28 ;ip-172-20-58-122.ec2.internal;314.80;0;0
2021/10/14 12:04:28 ;ip-172-20-49-155.ec2.internal;3940.10;10;1
2021/10/14 12:04:28 ;ip-172-20-58-122.ec2.internal;177.80;0;0
2021/10/14 12:04:28 ;ip-172-20-73-221.ec2.internal;2525.50;6;0
2021/10/14 12:05:28 ;ip-172-20-58-122.ec2.internal;92.10;0;0
2021/10/14 12:05:28 ;ip-172-20-73-221.ec2.internal;1950.20;6;0
